Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-16 21:34:00,3.378,0.0,236.54,14.2,0.0,0.0,17.0
2006-12-16 21:35:00,1.8719999999999999,0.0,238.48,8.6,0.0,0.0,18.0
2006-12-16 21:36:00,3.2119999999999997,0.0,237.27,13.6,0.0,0.0,17.0
2006-12-16 21:37:00,3.346,0.0,237.06,14.0,0.0,0.0,17.0
2006-12-16 21:38:00,3.3080000000000003,0.07200000000000001,236.49,14.0,0.0,0.0,17.0
2006-12-16 21:39:00,3.302,0.07200000000000001,236.28,13.8,0.0,0.0,17.0
2006-12-16 21:40:00,2.36,0.064,236.89,10.8,0.0,0.0,18.0
2006-12-16 21:41:00,2.6519999999999997,0.046,236.64,11.8,0.0,0.0,17.0
2006-12-16 21:42:00,3.392,0.0,236.58,14.2,0.0,1.0,17.0
2006-12-16 21:43:00,3.398,0.0,236.83,14.2,0.0,2.0,17.0
2006-12-16 21:44:00,3.424,0.046,237.75,14.4,0.0,1.0,17.0
2006-12-16 21:45:00,1.86,0.066,239.69,8.4,0.0,2.0,18.0
2006-12-16 21:46:00,3.25,0.08199999999999999,238.95,13.8,0.0,1.0,17.0
2006-12-16 21:47:00,3.502,0.172,236.46,14.8,0.0,1.0,18.0
2006-12-16 21:48:00,3.484,0.17,235.98,14.6,0.0,2.0,17.0
2006-12-16 21:49:00,3.478,0.168,235.85,14.6,0.0,1.0,17.0
2006-12-16 21:50:00,1.696,0.19399999999999998,238.19,7.6,0.0,2.0,17.0
2006-12-16 21:51:00,3.4939999999999998,0.17,236.28,14.8,0.0,1.0,17.0
2006-12-16 21:52:00,3.4819999999999998,0.17,236.4,14.6,0.0,1.0,17.0
2006-12-16 21:53:00,3.48,0.17,236.46,14.6,0.0,2.0,17.0
2006-12-16 21:54:00,3.4739999999999998,0.168,236.28,14.6,0.0,1.0,17.0
2006-12-16 21:55:00,2.3080000000000003,0.184,237.33,10.6,0.0,1.0,18.0
2006-12-16 21:56:00,2.926,0.17800000000000002,237.09,12.8,0.0,2.0,17.0
2006-12-16 21:57:00,3.472,0.17,236.39,14.6,0.0,1.0,17.0
2006-12-16 21:58:00,3.48,0.17,236.75,14.6,0.0,1.0,17.0
2006-12-16 21:59:00,3.4539999999999997,0.168,235.73,14.6,0.0,2.0,17.0
2006-12-16 22:00:00,3.464,0.17,236.03,14.6,0.0,1.0,17.0
2006-12-16 22:01:00,1.786,0.096,237.68,8.2,0.0,1.0,18.0
2006-12-16 22:02:00,3.182,0.0,235.99,13.6,0.0,1.0,17.0
2006-12-16 22:03:00,3.378,0.0,236.26,14.2,0.0,2.0,17.0
2006-12-16 22:04:00,3.372,0.0,236.03,14.2,0.0,1.0,17.0
2006-12-16 22:05:00,3.362,0.0,235.7,14.2,0.0,1.0,17.0
2006-12-16 22:06:00,3.112,0.0,236.08,13.4,0.0,1.0,17.0
2006-12-16 22:07:00,1.614,0.055999999999999994,237.31,7.4,0.0,0.0,17.0
2006-12-16 22:08:00,3.358,0.0,236.14,14.2,0.0,0.0,17.0
2006-12-16 22:09:00,3.388,0.0,236.61,14.2,0.0,0.0,17.0
2006-12-16 22:10:00,3.392,0.0,236.93,14.2,0.0,0.0,17.0
2006-12-16 22:11:00,2.81,0.0,237.97,12.4,0.0,0.0,18.0
2006-12-16 22:12:00,2.18,0.0,238.02,10.0,0.0,0.0,17.0
2006-12-16 22:13:00,3.37,0.0,236.06,14.2,0.0,0.0,17.0
2006-12-16 22:14:00,3.326,0.0,234.45,14.0,0.0,0.0,17.0
2006-12-16 22:15:00,2.778,0.0,235.31,12.0,0.0,0.0,9.0
2006-12-16 22:16:00,2.358,0.0,237.1,9.8,0.0,0.0,0.0
2006-12-16 22:17:00,0.96,0.054000000000000006,238.68,5.6,0.0,0.0,0.0
2006-12-16 22:18:00,1.6059999999999999,0.0,238.76,7.8,0.0,0.0,0.0
2006-12-16 22:19:00,2.35,0.0,238.59,9.8,0.0,0.0,0.0
2006-12-16 22:20:00,2.428,0.068,238.87,10.0,0.0,0.0,0.0
2006-12-16 22:21:00,2.0780000000000003,0.07200000000000001,238.97,9.2,0.0,0.0,0.0
2006-12-16 22:22:00,0.78,0.09,239.93,4.6,0.0,0.0,0.0
2006-12-16 22:23:00,2.426,0.068,239.05,10.0,0.0,0.0,0.0
2006-12-16 22:24:00,2.412,0.066,238.46,10.0,0.0,0.0,0.0
2006-12-16 22:25:00,2.428,0.07,239.68,10.0,0.0,0.0,0.0
2006-12-16 22:26:00,1.53,0.084,240.72,7.6,0.0,0.0,0.0
2006-12-16 22:27:00,1.3880000000000001,0.086,240.87,7.2,0.0,0.0,0.0
2006-12-16 22:28:00,2.424,0.07,239.71,10.0,0.0,0.0,0.0
2006-12-16 22:29:00,2.428,0.07200000000000001,239.89,10.0,0.0,0.0,0.0
2006-12-16 22:30:00,2.388,0.07,239.48,10.0,0.0,0.0,0.0
2006-12-16 22:31:00,0.376,0.1,241.64,1.6,0.0,0.0,0.0
2006-12-16 22:32:00,2.202,0.07400000000000001,240.07,9.6,0.0,0.0,0.0
2006-12-16 22:33:00,2.43,0.07,239.77,10.0,0.0,0.0,0.0
2006-12-16 22:34:00,2.346,0.052000000000000005,240.05,9.6,0.0,0.0,0.0
2006-12-16 22:35:00,1.916,0.054000000000000006,239.75,8.6,0.0,0.0,0.0
2006-12-16 22:36:00,0.384,0.0,240.58,2.4,0.0,0.0,0.0
2006-12-16 22:37:00,2.334,0.06,239.2,9.6,0.0,0.0,0.0
2006-12-16 22:38:00,2.32,0.06,238.84,9.6,0.0,0.0,0.0
2006-12-16 22:39:00,2.306,0.062,238.39,9.6,0.0,0.0,0.0
2006-12-16 22:40:00,2.306,0.064,238.39,9.6,0.0,0.0,0.0
2006-12-16 22:41:00,0.436,0.0,241.06,2.8,0.0,0.0,0.0
2006-12-16 22:42:00,1.584,0.05,240.89,7.8,0.0,0.0,0.0
2006-12-16 22:43:00,2.3280000000000003,0.062,239.46,9.6,0.0,0.0,0.0
2006-12-16 22:44:00,2.326,0.062,239.27,9.6,0.0,0.0,0.0
2006-12-16 22:45:00,2.334,0.06,239.57,9.6,0.0,0.0,0.0
2006-12-16 22:46:00,1.8459999999999999,0.054000000000000006,239.99,8.4,0.0,0.0,0.0
2006-12-16 22:47:00,0.284,0.0,242.04,1.2,0.0,0.0,0.0
2006-12-16 22:48:00,2.342,0.06,239.89,9.8,0.0,0.0,0.0
2006-12-16 22:49:00,2.392,0.0,239.91,10.0,0.0,0.0,0.0
2006-12-16 22:50:00,2.414,0.0,240.02,10.0,0.0,0.0,0.0
2006-12-16 22:51:00,2.414,0.0,239.97,10.0,0.0,0.0,0.0
2006-12-16 22:52:00,0.754,0.086,241.27,4.4,0.0,0.0,0.0
2006-12-16 22:53:00,1.42,0.17800000000000002,238.64,7.4,0.0,0.0,0.0
2006-12-16 22:54:00,2.468,0.162,237.47,10.4,0.0,0.0,0.0
2006-12-16 22:55:00,2.474,0.16399999999999998,238.05,10.4,0.0,0.0,0.0
2006-12-16 22:56:00,2.488,0.168,239.03,10.4,0.0,0.0,0.0
2006-12-16 22:57:00,1.81,0.182,240.28,8.6,0.0,0.0,0.0
2006-12-16 22:58:00,0.674,0.2,241.36,4.0,0.0,0.0,0.0
2006-12-16 22:59:00,2.444,0.094,239.42,10.2,0.0,0.0,0.0
2006-12-16 23:00:00,2.41,0.068,238.9,10.0,0.0,0.0,0.0
2006-12-16 23:01:00,2.412,0.07,239.13,10.0,0.0,0.0,0.0
2006-12-16 23:02:00,2.206,0.07200000000000001,239.37,9.4,0.0,0.0,0.0
2006-12-16 23:03:00,0.37,0.1,241.58,1.6,0.0,0.0,0.0
2006-12-16 23:04:00,2.104,0.076,240.11,9.2,0.0,0.0,0.0
2006-12-16 23:05:00,2.404,0.068,238.73,10.0,0.0,0.0,0.0
2006-12-16 23:06:00,2.418,0.07,239.52,10.0,0.0,0.0,0.0
2006-12-16 23:07:00,2.342,0.0,239.74,9.6,0.0,0.0,0.0
2006-12-16 23:08:00,1.262,0.046,240.96,6.8,0.0,0.0,0.0
2006-12-16 23:09:00,0.852,0.0,241.64,5.2,0.0,0.0,0.0
2006-12-16 23:10:00,2.34,0.06,240.05,9.6,0.0,0.0,0.0
2006-12-16 23:11:00,2.336,0.06,240.07,9.6,0.0,0.0,0.0
2006-12-16 23:12:00,2.334,0.06,239.99,9.6,0.0,0.0,0.0
2006-12-16 23:13:00,2.33,0.06,239.74,9.6,0.0,0.0,0.0
2006-12-16 23:14:00,1.038,0.0,241.17,6.0,0.0,0.0,0.0
2006-12-16 23:15:00,0.386,0.0,242.39,2.4,0.0,0.0,0.0
2006-12-16 23:16:00,2.35,0.06,240.41,9.6,0.0,0.0,0.0
2006-12-16 23:17:00,2.346,0.06,240.5,9.6,0.0,0.0,0.0
2006-12-16 23:18:00,2.346,0.06,240.55,9.6,0.0,0.0,0.0
2006-12-16 23:19:00,1.834,0.052000000000000005,240.97,8.4,0.0,0.0,0.0
2006-12-16 23:20:00,1.222,0.046,241.58,6.6,0.0,0.0,0.0
2006-12-16 23:21:00,2.342,0.06,240.21,9.6,0.0,0.0,0.0
2006-12-16 23:22:00,2.334,0.06,239.98,9.6,0.0,0.0,0.0
2006-12-16 23:23:00,1.666,0.052000000000000005,240.65,8.0,0.0,0.0,0.0
2006-12-16 23:24:00,1.198,0.0,241.68,6.6,0.0,0.0,0.0
2006-12-16 23:25:00,2.35,0.057999999999999996,240.7,9.6,0.0,0.0,0.0
2006-12-16 23:26:00,2.398,0.0,240.7,9.8,0.0,0.0,0.0
2006-12-16 23:27:00,2.444,0.07200000000000001,240.11,10.2,0.0,0.0,0.0
2006-12-16 23:28:00,0.406,0.098,241.71,2.0,0.0,0.0,0.0
2006-12-16 23:29:00,2.434,0.07200000000000001,240.13,10.0,0.0,0.0,0.0
2006-12-16 23:30:00,2.502,0.136,240.24,10.4,0.0,0.0,0.0
2006-12-16 23:31:00,2.5180000000000002,0.17600000000000002,240.53,10.4,0.0,0.0,0.0
2006-12-16 23:32:00,1.516,0.19,241.36,7.6,0.0,0.0,0.0
2006-12-16 23:33:00,1.4980000000000002,0.188,241.02,7.6,0.0,0.0,0.0
